model,Accuracy,Kappa
Boosted.Grouped,0.9814037192561488,0.9150991908654044
Boosted.Split,0.9814037192561488,0.9150991908654044
C50.Split,0.9808038392321535,0.9121845862087129
RF.Split,0.9796040791841631,0.9066961228467575
Bagged.Grouped,0.979004199160168,0.9037587610126074
Bagged.Split,0.979004199160168,0.9037587610126074
CART.Grouped,0.9784043191361728,0.9012076594848022
CART.Split,0.9784043191361728,0.9012076594848022
RF.Grouped,0.9784043191361728,0.9008095626906968
J48.Grouped,0.9772045590881824,0.8973668520174722
C50.Grouped,0.9772045590881824,0.8952989828401801
J48.Split,0.976004799040192,0.8923901711622444
