id,Variables,ROC
knn,1,0.514058140933141
knn,2,0.5533309283309283
knn,3,0.5645135882635882
knn,4,0.5914640452140452
knn,5,0.6276593314093314
knn,6,0.6139405964405964
knn,7,0.5872474747474747
knn,8,0.5813092231842232
knn,9,0.5630188792688793
knn,10,0.547357202982203
knn,11,0.5718130711880712
knn,12,0.5817649711399712
knn,13,0.5890981240981241
rf,1,0.5354912217412218
rf,2,0.48735900673400673
rf,3,0.5264246632996633
rf,4,0.524433621933622
rf,5,0.5541341991341991
rf,6,0.5631893338143338
rf,7,0.5723698292448293
rf,8,0.5898337542087542
rf,9,0.5902666546416546
lr,1,0.5633712121212121
lr,2,0.5873006854256855
lr,3,0.5783128908128908
lr,4,0.595551948051948
lr,5,0.6170376382876382
lr,6,0.6476695526695526
lr,7,0.6539640452140452
lr,8,0.6548508898508898
lr,9,0.658008658008658
lr,10,0.6656806156806157
lr,11,0.6630898268398269
lr,12,0.6519468494468494
lr,13,0.6543103655603656
nb,1,0.5279205747955747
nb,2,0.578924963924964
nb,3,0.5951945045695045
nb,4,0.6091660654160654
nb,5,0.6196115921115921
nb,6,0.6184145021645022
nb,7,0.6120658970658971
nb,8,0.627449494949495
nb,9,0.6324951899951899
svm,1,0.5012448893698894
svm,2,0.494241822991823
svm,3,0.5290280784030784
svm,4,0.5404316979316979
svm,5,0.5402922077922078
svm,6,0.5513504088504089
svm,7,0.5560600048100048
svm,8,0.5596705146705147
svm,9,0.5560960798460799
svm,10,0.536055796055796
svm,11,0.5551948051948052
svm,12,0.5330561568061568
svm,13,0.5414460076960077
lda,1,0.5126902958152958
lda,2,0.550150012025012
lda,3,0.5933883477633477
lda,4,0.6154785954785955
lda,5,0.6308814333814334
lda,6,0.6373382635882636
lda,7,0.638083213083213
lda,8,0.6491293891293891
lda,9,0.6473196248196248
lda,10,0.6375300625300625
lda,11,0.6380315055315056
lda,12,0.6478445165945166
lda,13,0.6611934824434824
